"iso3c","year","source","generation"
"AND",2013,"otherrenewable",12.9
"AND",2014,"hydro",113.42
"AND",2014,"otherrenewable",13.39
"AND",2014,"solar",0.2
"AND",2015,"hydro",85.67
"AND",2015,"otherrenewable",13.81
"AND",2015,"solar",0.24
"AND",2016,"gas",0.9
"AND",2016,"hydro",84.36
"AND",2016,"otherrenewable",14.16
"AND",2016,"solar",0.26
"AND",2017,"gas",4.23
"AND",2017,"hydro",85.1
"AND",2017,"otherrenewable",17
"AND",2017,"solar",0.51
"AND",2018,"gas",5.07
"AND",2018,"hydro",114.36
"AND",2018,"otherrenewable",20.51
"AND",2018,"solar",0.56
"AND",2019,"gas",5.58
"AND",2019,"hydro",85.6
"AND",2019,"otherrenewable",21.54
"AND",2019,"solar",0.72
"AND",2020,"gas",3.82
"AND",2020,"hydro",121.4
"AND",2020,"otherrenewable",19.83
"AND",2020,"solar",0.94
"ARE",2000,"gas",39944
"ARE",2001,"gas",43172
"ARE",2002,"gas",46856
"ARE",2003,"gas",49450
"ARE",2004,"gas",52417
"ARE",2005,"gas",60698
"ARE",2006,"gas",66768
"ARE",2007,"gas",78761
"ARE",2008,"gas",80463
"ARE",2009,"gas",85691.71
"ARE",2009,"solar",6.35
"ARE",2010,"gas",93931.9
"ARE",2010,"solar",17.16
"ARE",2011,"gas",99119.01
"ARE",2011,"solar",18.23
"ARE",2012,"gas",106203.41
"ARE",2012,"solar",18.92
"ARE",2013,"gas",109919.84
"ARE",2013,"solar",75.74
"ARE",2013,"wind",1.49
"ARE",2014,"gas",116252.33
"ARE",2014,"solar",296.44
"ARE",2014,"wind",1.49
"ARE",2015,"gas",127090.04
"ARE",2015,"solar",296.86
"ARE",2015,"wind",1.49
"ARE",2016,"gas",129304.01
"ARE",2016,"solar",314.38
"ARE",2017,"gas",133834.9
"ARE",2017,"solar",739.19
"ARE",2018,"gas",134711.16
"ARE",2018,"solar",1308.69
"ARE",2019,"gas",134674.3
"ARE",2019,"solar",3787.65
"ARE",2020,"bioenergy",0.87
"ARE",2020,"gas",131834.24
"ARE",2020,"solar",5484.69
"ARG",2000,"bioenergy",675
"ARG",2000,"coal",1077
"ARG",2000,"gas",49060
"ARG",2000,"hydro",28761.82
"ARG",2000,"nuclear",6177.11
"ARG",2000,"oil",4169.04
"ARG",2000,"solar",0.04
"ARG",2000,"wind",35
"ARG",2001,"bioenergy",624
"ARG",2001,"coal",532
"ARG",2001,"gas",43137
"ARG",2001,"hydro",36949.16
"ARG",2001,"nuclear",7058.64
"ARG",2001,"oil",2834.38
"ARG",2001,"solar",0.04
"ARG",2001,"wind",49.36
"ARG",2002,"bioenergy",869
"ARG",2002,"coal",149
"ARG",2002,"gas",40567
"ARG",2002,"hydro",35796.81
"ARG",2002,"nuclear",5820.81
"ARG",2002,"oil",2804.84
"ARG",2002,"solar",0.05
"ARG",2002,"wind",73.41
"ARG",2003,"bioenergy",1297
"ARG",2003,"coal",164
"ARG",2003,"gas",47585
"ARG",2003,"hydro",33737.25
